PostID,Username,PostDate,PostContent,PostTitle,PostURL,URL_Source
https://bitcointalk.org/index.php?topic=5445412.0#1,MiliMil,"March 18, 2023, 05:08:28 PM","The Bitcoin Blockchain can only process around 5 Transactions Per Second (TPS) give or take.
When you compare this to VISA which has a TPS rate of 2000+ it seems very low.
If Bitcoin is going to become mainstream in the future the TPS needs to increase greatly.
Is there a way to increase the scalability whilst also maintaining a high level of decentralisation?",Bitcoin Blockchain Transactions Per Second,https://bitcointalk.org/index.php?topic=5445412.msg61936443#msg61936443,https://bitcointalk.org/index.php?topic=5445412.0
https://bitcointalk.org/index.php?topic=5445412.0#,,,,,https://bitcointalk.org/index.php?topic=1680232799.msg1680232799#msg1680232799,https://bitcointalk.org/index.php?topic=5445412.0
https://bitcointalk.org/index.php?topic=5445412.0#2,OmegaStarScream,"March 18, 2023, 05:13:58 PM","We already have the lightning network, which should be capable of handling way more transactions than Visa does:

https://twitter.com/Blockstream/status/1502115599874359297",Re: Bitcoin Blockchain Transactions Per Second,https://bitcointalk.org/index.php?topic=5445412.msg61936481#msg61936481,https://bitcointalk.org/index.php?topic=5445412.0
https://bitcointalk.org/index.php?topic=5445412.0#3,Upgrade00,"March 18, 2023, 05:25:16 PM","You should note that Bitcoin transactions are final, while fiat transfers through different channels are not, at the time when it reflects. This makes it a lopsided comparison to make.

That aside, there has been improvements over the years to scalability, with both off chain and on chain solutions, and there would be more in the coming years, while maintaining decentralization.",Re: Bitcoin Blockchain Transactions Per Second,https://bitcointalk.org/index.php?topic=5445412.msg61936547#msg61936547,https://bitcointalk.org/index.php?topic=5445412.0
https://bitcointalk.org/index.php?topic=5445412.0#4,Kgdktac,"March 18, 2023, 06:58:28 PM","One approach to scaling Bitcoin is through the use of layer two solutions such as the Lightning Network.
The Lightning Network is a second layer protocol that sits on top of the Bitcoin blockchain and allows for faster and cheaper transactions by using off-chain transactions that are settled periodically on the blockchain.
This approach can significantly increase the TPS rate while maintaining a high level of decentralization.",Re: Bitcoin Blockchain Transactions Per Second,https://bitcointalk.org/index.php?topic=5445412.msg61937049#msg61937049,https://bitcointalk.org/index.php?topic=5445412.0
https://bitcointalk.org/index.php?topic=5445412.0#5,Kgdktac,"March 18, 2023, 07:05:21 PM","Quote from: Kgdktac on March 18, 2023, 06:58:28 PM
One approach to scaling Bitcoin is through the use of layer two solutions such as the Lightning Network.
The Lightning Network is a second layer protocol that sits on top of the Bitcoin blockchain and allows for faster and cheaper transactions by using off-chain transactions that are settled periodically on the blockchain.
This approach can significantly increase the TPS rate while maintaining a high level of decentralization.

another approach would be the use of Side Chains,   these are separate blockchains that are pegged to the main Bitcoin blockchain and allow for the processing of transactions in parallel.
Sidechains can be used for specific use cases, such as smart contracts or asset tokenization, and can help to reduce the load on the main Bitcoin blockchain while maintaining decentralization.",Re: Bitcoin Blockchain Transactions Per Second,https://bitcointalk.org/index.php?topic=5445412.msg61937077#msg61937077,https://bitcointalk.org/index.php?topic=5445412.0
https://bitcointalk.org/index.php?topic=5445412.0#6,Aanuoluwatofunmi,"March 18, 2023, 07:22:39 PM","Bitcoin transaction cannot be compared with a centralized institutionizations that has to go through various channels before getting confirmed unlike bitcoin, the transaction charges is another benefit we take advantage of from bitcoin transaction which is fare enough cheaper and faster, scalability challenges could also be evaded through the bitcoin lightning network under the layer 2 protocols.",Re: Bitcoin Blockchain Transactions Per Second,https://bitcointalk.org/index.php?topic=5445412.msg61937155#msg61937155,https://bitcointalk.org/index.php?topic=5445412.0
https://bitcointalk.org/index.php?topic=5445412.0#7,franky1,"March 18, 2023, 07:31:50 PM","someone makes a topic about BITCOIN BLOCKCHAIN

and the usual tribe of alternative network adorers come in and advertise other networks

oh and lightning has a liquidity bottleneck problem that only gets worse the more popular it gets

other alternative networks will come about some that direct bridge to bitcoin and only bitcoin as the ""layer2"" proposition. but some will just be for niche utility. and small value amounts. and others will bridge to multiple mainnets of multiple blockchains.

but lightning is not one that will cope with mass adoption to pay anyone without middlemen",Re: Bitcoin Blockchain Transactions Per Second,https://bitcointalk.org/index.php?topic=5445412.msg61937181#msg61937181,https://bitcointalk.org/index.php?topic=5445412.0
https://bitcointalk.org/index.php?topic=5445412.0#8,Charles-Tim,"March 18, 2023, 07:51:17 PM","Quote from: MiliMil on March 18, 2023, 05:08:28 PM
The Bitcoin Blockchain can only process around 5 Transactions Per Second (TPS) give or take.
Prove it. The last article I read some months ago stated that bitcoin can process seven transactions per second. If you have big transactions to make, you can make use of the onchain network.

With lightning network, scalability issue is solved to an extent, but using lightning network for only small transaction amount is advisable.",Re: Bitcoin Blockchain Transactions Per Second,https://bitcointalk.org/index.php?topic=5445412.msg61937259#msg61937259,https://bitcointalk.org/index.php?topic=5445412.0
https://bitcointalk.org/index.php?topic=5445412.0#9,franky1,"March 18, 2023, 08:16:19 PM","Quote from: Charles-Tim on March 18, 2023, 07:51:17 PM
Quote from: MiliMil on March 18, 2023, 05:08:28 PM
The Bitcoin Blockchain can only process around 5 Transactions Per Second (TPS) give or take.
Prove it. The last article I read some months ago stated that bitcoin can process seven transactions per second. If you have big transactions to make, you can make use of the onchain network.

With lightning network, scalability issue is solved to an extent, but using lightning network for only small transaction amount is advisable.

lightning has many scalability issues. they have liquidity problems in regards to routing which only get worse the more popular it gets

as for bitcoins tx/s
bitcoin does 2016 blocks a fortnight meaning 1 block every 600 seconds average
bitcoin only does about 2300tx a block

2300/600=3.83per second
3000tx a block would be 5tx/s


the 7tx/s was the ""expectation"" of the old 1mb limit and lean 226byte tx
but even at todays 4mb blocks it still is not getting much above 5tx/s",Re: Bitcoin Blockchain Transactions Per Second,https://bitcointalk.org/index.php?topic=5445412.msg61937369#msg61937369,https://bitcointalk.org/index.php?topic=5445412.0
